SNO,Volume,WaterLevel,Time
75649,35686.5,17.28,"2019-09-15 12:00:20"
75650,35679.8,17.32,"2019-09-15 12:01:21"
75651,35673.2,17.35,"2019-09-15 12:02:21"
75652,35676.5,17.33,"2019-09-15 12:03:22"
75653,35666.6,17.38,"2019-09-15 12:04:22"
75654,35689.8,17.26,"2019-09-15 12:05:24"
75655,35683.2,17.3,"2019-09-15 12:06:24"
75656,35686.5,17.28,"2019-09-15 12:07:25"
75657,35686.5,17.28,"2019-09-15 12:08:25"
75658,35689.8,17.26,"2019-09-15 12:09:26"
75659,35683.2,17.3,"2019-09-15 12:10:26"
75660,35679.8,17.32,"2019-09-15 12:11:27"
75661,35596.8,17.74,"2019-09-15 12:12:29"
75662,35673.2,17.35,"2019-09-15 12:13:29"
75663,35643.3,17.5,"2019-09-15 12:14:30"
75664,35547,18,"2019-09-15 12:15:30"
75665,35650,17.47,"2019-09-15 12:16:31"
75666,35540.4,18.03,"2019-09-15 12:17:31"
75667,35424.2,18.62,"2019-09-15 12:18:32"
75668,35560.3,17.93,"2019-09-15 12:19:32"
75669,35447.4,18.5,"2019-09-15 12:20:33"
75670,35347.8,19.01,"2019-09-15 12:21:34"
75671,35381,18.84,"2019-09-15 12:22:34"
75672,35271.4,19.41,"2019-09-15 12:23:35"
75673,35384.3,18.83,"2019-09-15 12:24:35"
75674,35371.1,18.9,"2019-09-15 12:25:36"
75675,35381,18.84,"2019-09-15 12:26:37"
75676,35450.8,18.49,"2019-09-15 12:27:37"
75677,35454.1,18.47,"2019-09-15 12:28:37"
75678,35361.1,18.95,"2019-09-15 12:29:38"
75679,35364.4,18.93,"2019-09-15 12:30:39"
75680,35464,18.42,"2019-09-15 12:31:40"
75681,35324.6,19.13,"2019-09-15 12:32:40"
75682,35384.3,18.83,"2019-09-15 12:33:41"
75683,35274.8,19.39,"2019-09-15 12:34:41"
75684,35271.4,19.41,"2019-09-15 12:35:42"
75685,35274.8,19.39,"2019-09-15 12:36:42"
75686,35264.8,19.44,"2019-09-15 12:37:43"
75687,35241.6,19.56,"2019-09-15 12:38:43"
75688,35308,19.22,"2019-09-15 12:39:44"
75689,35221.6,19.66,"2019-09-15 12:40:44"
75690,35218.3,19.68,"2019-09-15 12:41:45"
75691,35218.3,19.68,"2019-09-15 12:42:46"
75692,35208.4,19.73,"2019-09-15 12:43:46"
75693,35211.7,19.71,"2019-09-15 12:44:47"
75694,35225,19.64,"2019-09-15 12:45:48"
75695,35288.1,19.32,"2019-09-15 12:46:48"
75696,35191.8,19.81,"2019-09-15 12:47:49"
75697,35181.8,19.86,"2019-09-15 12:48:49"
75698,35195.1,19.8,"2019-09-15 12:49:50"
75699,35211.7,19.71,"2019-09-15 12:50:50"
75700,35281.4,19.35,"2019-09-15 12:51:51"
75701,35281.4,19.35,"2019-09-15 12:52:52"
75702,35195.1,19.8,"2019-09-15 12:53:52"
75703,35191.8,19.81,"2019-09-15 12:54:53"
75704,35195.1,19.8,"2019-09-15 12:55:53"
75705,35191.8,19.81,"2019-09-15 12:56:54"
75706,35185.1,19.85,"2019-09-15 12:57:54"
75707,35211.7,19.71,"2019-09-15 12:58:55"
75708,35201.7,19.76,"2019-09-15 12:59:55"
  